,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
TMED10,0.000300523,0.390630589,0.254,0.177,1,2,TMED10
DOK21,0.000314666,0.546723211,0.311,0.226,1,2,DOK2
DYNLRB1,0.000325475,0.434573937,0.366,0.265,1,2,DYNLRB1
TMEM14B,0.00037592,0.459710625,0.315,0.223,1,2,TMEM14B
ANXA7,0.000381144,0.274954534,0.294,0.207,1,2,ANXA7
GRK6,0.000484961,0.288417045,0.254,0.175,1,2,GRK6
GPSM3,0.000488635,0.311558643,0.763,0.645,1,2,GPSM3
S1PR4,0.000500255,0.470084456,0.332,0.248,1,2,S1PR4
XRCC5,0.000542776,0.310192086,0.315,0.226,1,2,XRCC5
CUTA1,0.000546825,0.282174576,0.534,0.414,1,2,CUTA
HSPA5,0.000567262,0.259064299,0.265,0.186,1,2,HSPA5
HNRNPU,0.000579856,0.370275302,0.317,0.234,1,2,HNRNPU
ACP1,0.000610704,0.460866697,0.313,0.22,1,2,ACP1
CCT3,0.000717507,0.315868756,0.273,0.197,1,2,CCT3
PDIA3,0.000805039,0.388593797,0.42,0.32,1,2,PDIA3
RPS27L,0.000915751,0.62772438,0.29,0.208,1,2,RPS27L
MDH1,0.000916697,0.292410761,0.303,0.222,1,2,MDH1
NDUFB4,0.000949554,0.256792361,0.328,0.249,1,2,NDUFB4
DCK,0.001013118,0.392036306,0.256,0.177,1,2,DCK
LSM2,0.001029394,0.265549917,0.267,0.19,1,2,LSM2
CCND3,0.001092074,0.326260449,0.504,0.393,1,2,CCND3
TRAPPC6A,0.001282103,0.359050544,0.258,0.188,1,2,TRAPPC6A
CACYBP,0.001314463,0.271605515,0.252,0.181,1,2,CACYBP
TMED2,0.001368706,0.318139798,0.349,0.26,1,2,TMED2
NDUFA12,0.001513208,0.322111663,0.288,0.208,1,2,NDUFA12
SEPW1,0.002097895,0.256522328,0.315,0.241,1,2,SEPW1
UBE2L3,0.002423571,0.270307751,0.3,0.225,1,2,UBE2L3
TMEM243,0.003275378,0.255289231,0.263,0.191,1,2,TMEM243
FUS,0.00338056,0.655863978,0.34,0.265,1,2,FUS
NSA2,0.004045621,1.028427966,0.282,0.212,1,2,NSA2
PSMA5,0.004403655,0.27879487,0.334,0.255,1,2,PSMA5
SF3B2,0.004903883,0.377287531,0.263,0.194,1,2,SF3B2
HMGB21,0.005051457,0.273646284,0.389,0.309,1,2,HMGB2
RALY,0.005249655,0.333861583,0.282,0.216,1,2,RALY
TMEM59,0.006360605,0.364759053,0.479,0.381,1,2,TMEM59
CSDE1,0.007320276,0.285103057,0.366,0.29,1,2,CSDE1
ARHGEF1,0.008204777,0.268210686,0.294,0.227,1,2,ARHGEF1
HNRNPM,0.008404539,0.326838823,0.372,0.3,1,2,HNRNPM
STK4,0.009647267,0.471156144,0.261,0.195,1,2,STK4
CD79A,0,6.911221236,0.936,0.041,0,3,CD79A
MS4A1,0,5.718519829,0.855,0.053,0,3,MS4A1
CD79B,2.66E-274,4.636747389,0.916,0.142,3.64E-270,3,CD79B
LINC00926,2.40E-272,7.379756684,0.564,0.009,3.29E-268,3,LINC00926
TCL1A,9.48E-271,6.688051387,0.622,0.022,1.30E-266,3,TCL1A
HLA-DQA1,2.94E-266,3.971835794,0.89,0.118,4.04E-262,3,HLA-DQA1
VPREB3,2.75E-237,7.135050659,0.488,0.007,3.76E-233,3,VPREB3
HLA-DQB1,1.17E-229,4.044847368,0.863,0.147,1.61E-225,3,HLA-DQB1
CD74,5.26E-185,2.986542111,1,0.821,7.21E-181,3,CD74
HLA-DRA1,1.95E-183,2.853028625,1,0.494,2.68E-179,3,HLA-DRA
FCER2,2.42E-170,6.360630502,0.381,0.009,3.32E-166,3,FCER2
HLA-DPB11,2.41E-165,2.503942867,0.985,0.449,3.30E-161,3,HLA-DPB1
BANK1,3.30E-159,4.519589169,0.483,0.037,4.53E-155,3,BANK1
HLA-DRB11,5.21E-154,2.216072638,0.983,0.381,7.15E-150,3,HLA-DRB1
HLA-DPA11,4.62E-142,2.140975675,0.977,0.421,6.33E-138,3,HLA-DPA1
TSPAN13,4.01E-138,6.057701941,0.311,0.007,5.50E-134,3,TSPAN13
HLA-DQA2,3.75E-137,3.822474742,0.523,0.065,5.14E-133,3,HLA-DQA2
FCRLA,7.08E-135,6.720789657,0.297,0.006,9.71E-131,3,FCRLA
CD37,9.12E-130,2.05466592,0.962,0.741,1.25E-125,3,CD37
HLA-DRB51,1.08E-119,2.209676593,0.852,0.276,1.48E-115,3,HLA-DRB5
HVCN1,2.26E-119,3.366332692,0.491,0.068,3.09E-115,3,HVCN1
PKIG,7.44E-116,5.523611402,0.276,0.008,1.02E-111,3,PKIG
HLA-DOB,1.15E-114,5.484001887,0.288,0.011,1.57E-110,3,HLA-DOB
BLK,1.49E-101,4.684640158,0.282,0.015,2.05E-97,3,BLK
HLA-DMA1,5.30E-101,2.525693317,0.695,0.201,7.27E-97,3,HLA-DMA
PDLIM1,2.75E-98,3.692579725,0.317,0.024,3.77E-94,3,PDLIM1
GNG7,3.06E-98,4.640387629,0.288,0.018,4.19E-94,3,GNG7
CD72,9.25E-98,5.430643021,0.265,0.013,1.27E-93,3,CD72
HLA-DMB1,1.39E-92,2.922263071,0.549,0.126,1.90E-88,3,HLA-DMB
P2RX5,3.87E-87,4.811479385,0.273,0.02,5.30E-83,3,P2RX5
CD40,2.48E-84,4.125104851,0.291,0.026,3.40E-80,3,CD40
EAF2,1.71E-74,3.836921361,0.352,0.056,2.34E-70,3,EAF2
PPAPDC1B,6.54E-71,3.682045696,0.314,0.044,8.97E-67,3,PPAPDC1B
IRF8,3.85E-69,3.40190237,0.375,0.071,5.29E-65,3,IRF8
RPL18A1,1.80E-66,0.610881555,1,0.993,2.46E-62,3,RPL18A
CYB561A3,1.38E-61,3.212961426,0.326,0.058,1.90E-57,3,CYB561A3
QRSL1,3.30E-61,3.700039736,0.27,0.037,4.52E-57,3,QRSL1
Mar 01,2.24E-57,3.568786844,0.282,0.045,3.08E-53,3,Mar 01
MEF2C,8.52E-55,3.557365262,0.267,0.042,1.17E-50,3,MEF2C
RPS231,1.61E-52,0.645100173,1,0.98,2.21E-48,3,RPS23
SMIM14,3.85E-52,3.163704065,0.323,0.069,5.28E-48,3,SMIM14
RPS11,4.30E-51,0.711628434,0.991,0.943,5.90E-47,3,RPS11
RPS51,9.27E-50,0.578711443,1,0.976,1.27E-45,3,RPS5
LY861,5.01E-49,1.965110469,0.465,0.151,6.87E-45,3,LY86
PLEKHF2,7.76E-49,3.088602624,0.294,0.06,1.06E-44,3,PLEKHF2
SNX2,6.86E-46,2.128105709,0.471,0.176,9.41E-42,3,SNX2
LTB2,9.73E-45,0.773660717,0.936,0.669,1.33E-40,3,LTB
ISG201,2.47E-39,1.460848212,0.695,0.427,3.38E-35,3,ISG20
NCF11,2.51E-38,1.924258859,0.392,0.132,3.45E-34,3,NCF1
CXCR41,9.70E-38,1.236602601,0.811,0.569,1.33E-33,3,CXCR4
RPL13A1,1.40E-36,0.413995601,1,0.999,1.92E-32,3,RPL13A
SNHG7,1.11E-35,1.698332546,0.5,0.231,1.52E-31,3,SNHG7
LAPTM5,1.61E-35,1.112621181,0.872,0.781,2.21E-31,3,LAPTM5
RPS81,7.39E-35,0.445567724,1,0.986,1.01E-30,3,RPS8
RPL151,1.40E-33,0.384411431,1,0.995,1.92E-29,3,RPL15
RPL8,3.15E-31,0.440716617,1,0.986,4.32E-27,3,RPL8
LAT2,2.05E-29,2.740712961,0.25,0.069,2.82E-25,3,LAT2
FAIM3,4.32E-29,1.803997917,0.41,0.178,5.92E-25,3,FAIM3
RPL181,1.02E-26,0.384797624,0.994,0.982,1.40E-22,3,RPL18
RPS272,1.70E-24,0.377165827,0.997,0.993,2.33E-20,3,RPS27
RPL10A1,4.62E-24,0.378524899,0.997,0.985,6.34E-20,3,RPL10A
PTPRCAP,1.30E-23,0.791095832,0.843,0.612,1.78E-19,3,PTPRCAP
STX7,9.73E-23,2.078783416,0.273,0.102,1.33E-18,3,STX7
CD521,1.00E-21,0.57116381,0.953,0.886,1.38E-17,3,CD52
GNB2L1,9.95E-21,0.452908056,0.997,0.978,1.37E-16,3,GNB2L1
SYPL1,1.18E-20,1.764748025,0.297,0.122,1.62E-16,3,SYPL1
RPSA2,8.94E-20,0.444858513,0.988,0.954,1.23E-15,3,RPSA
RPL121,1.90E-19,0.36136816,0.997,0.991,2.60E-15,3,RPL12
LIMD2,1.22E-18,0.655865873,0.756,0.643,1.68E-14,3,LIMD2
RPL29,1.19E-17,0.335330175,0.997,0.985,1.63E-13,3,RPL29
BIRC3,4.28E-17,1.651491327,0.262,0.111,5.87E-13,3,BIRC3
FAU,2.86E-16,0.318261527,0.994,0.983,3.92E-12,3,FAU
RPS182,6.41E-16,0.276879362,1,0.997,8.79E-12,3,RPS18
RPL23A2,1.69E-15,0.297787711,1,0.99,2.32E-11,3,RPL23A
RPS212,2.36E-15,0.475897146,0.907,0.859,3.24E-11,3,RPS21
PRKCB,3.85E-15,1.619472796,0.265,0.121,5.28E-11,3,PRKCB
RPL191,7.93E-15,0.251872291,1,0.994,1.09E-10,3,RPL19
RPL91,9.90E-15,0.313637817,0.997,0.975,1.36E-10,3,RPL9
RPS131,1.21E-14,0.348697336,0.997,0.963,1.67E-10,3,RPS13
SNX31,1.22E-14,0.997122865,0.581,0.449,1.67E-10,3,SNX3
EEF2,2.54E-14,0.612611107,0.866,0.833,3.48E-10,3,EEF2
FAM26F1,2.94E-14,1.278615673,0.366,0.209,4.03E-10,3,FAM26F
RPL211,9.34E-14,0.287159271,1,0.992,1.28E-09,3,RPL21
RPS191,2.48E-13,0.258818478,1,0.993,3.41E-09,3,RPS19
POLD4,2.75E-13,1.1355017,0.485,0.328,3.77E-09,3,POLD4
RPLP22,3.92E-13,0.252269646,0.997,0.992,5.37E-09,3,RPLP2
RPL37A1,6.76E-13,0.335592378,0.977,0.952,9.27E-09,3,RPL37A
PLAC8,7.42E-13,0.81958443,0.576,0.441,1.02E-08,3,PLAC8
EEF1B21,8.59E-13,0.501137204,0.913,0.884,1.18E-08,3,EEF1B2
GLTSCR21,3.57E-12,0.389802142,0.89,0.825,4.89E-08,3,GLTSCR2
RPL371,5.30E-12,0.308719054,0.968,0.952,7.27E-08,3,RPL37
RPL351,5.71E-12,0.308997804,0.98,0.97,7.83E-08,3,RPL35
RPL22L1,8.61E-12,1.593099204,0.323,0.182,1.18E-07,3,RPL22L1
RPL51,2.00E-11,0.285027289,0.988,0.972,2.75E-07,3,RPL5
RCSD1,2.97E-11,1.182364699,0.328,0.199,4.08E-07,3,RCSD1
SEC62,3.16E-11,1.222791963,0.337,0.205,4.34E-07,3,SEC62
RPS3A1,6.53E-11,0.282447832,0.991,0.979,8.96E-07,3,RPS3A
PNISR,1.31E-10,0.920760466,0.477,0.357,1.80E-06,3,PNISR
BLOC1S2,5.98E-10,1.403084932,0.262,0.147,8.20E-06,3,BLOC1S2
RPL271,7.19E-10,0.281999907,0.977,0.955,9.86E-06,3,RPL27
HMGN11,2.10E-09,0.542309067,0.622,0.517,2.87E-05,3,HMGN1
TMEM2431,3.23E-09,1.130867281,0.305,0.189,4.43E-05,3,TMEM243
RNASEH2B,4.06E-09,1.02042719,0.265,0.152,5.57E-05,3,RNASEH2B
POU2F21,4.22E-09,1.080698785,0.259,0.145,5.78E-05,3,POU2F2
CD692,5.23E-09,0.864066637,0.468,0.345,7.17E-05,3,CD69
RPSAP582,9.75E-09,0.390051848,0.82,0.723,0.00013374,3,RPSAP58
DRAM2,1.18E-08,1.003934209,0.253,0.148,0.000161234,3,DRAM2
SELL1,4.68E-08,1.030543296,0.573,0.458,0.000642321,3,SELL
EIF4A21,6.56E-08,0.45599071,0.701,0.632,0.000899651,3,EIF4A2
TSC22D31,7.23E-08,0.421037034,0.791,0.748,0.000990906,3,TSC22D3
ZFP36L1,3.16E-07,0.812496265,0.326,0.23,0.004334678,3,ZFP36L1
ATP6V1G1,3.47E-07,0.454996648,0.654,0.602,0.00475668,3,ATP6V1G1
SP100,4.33E-07,0.837281378,0.358,0.256,0.005942597,3,SP100
ARPC31,4.56E-07,0.250858246,0.881,0.808,0.006257797,3,ARPC3
CD53,6.01E-07,0.648361757,0.608,0.539,0.008241586,3,CD53
DCK1,9.98E-07,1.132338235,0.267,0.18,0.013689754,3,DCK
PAPOLA,1.08E-06,1.115014889,0.294,0.207,0.014808487,3,PAPOLA
BTG11,1.10E-06,0.312990415,0.913,0.876,0.015131285,3,BTG1
EZR,2.62E-06,1.101739389,0.273,0.186,0.035926345,3,EZR
CCNI1,3.13E-06,0.477710477,0.669,0.625,0.042942833,3,CCNI
ANAPC16,3.62E-06,0.731827762,0.535,0.474,0.049700772,3,ANAPC16
HERPUD1,3.91E-06,0.883599641,0.288,0.201,0.053597314,3,HERPUD1
PTPN6,9.61E-06,0.765763026,0.372,0.284,0.131834897,3,PTPN6
ERP29,1.15E-05,0.49255068,0.599,0.558,0.158033706,3,ERP29
UCP2,1.28E-05,0.650351669,0.593,0.557,0.176197201,3,UCP2
SP110,1.36E-05,0.737778473,0.355,0.273,0.187108186,3,SP110
CIRBP,2.66E-05,0.415007349,0.727,0.704,0.365294267,3,CIRBP
TXNIP,2.72E-05,0.427065787,0.77,0.758,0.372650534,3,TXNIP
RASGRP2,2.94E-05,1.464846853,0.308,0.233,0.403391005,3,RASGRP2
RHOH2,4.28E-05,0.664298318,0.323,0.239,0.586843542,3,RHOH
NBEAL11,4.93E-05,0.37176127,0.695,0.684,0.676528416,3,NBEAL1
TAF7,5.54E-05,0.925095648,0.291,0.216,0.760149457,3,TAF7
FAM65B,6.83E-05,0.762676231,0.358,0.294,0.936495757,3,FAM65B
HNRNPA2B1,8.24E-05,0.375890581,0.654,0.634,1,3,HNRNPA2B1
STK17A1,0.000107813,0.833208213,0.375,0.31,1,3,STK17A
RPL231,0.000114435,0.302532995,0.846,0.86,1,3,RPL23
LSM7,0.000158809,0.639910743,0.334,0.262,1,3,LSM7
TSTD11,0.000388132,0.854177635,0.279,0.218,1,3,TSTD1
LSM101,0.000408682,0.903027939,0.267,0.204,1,3,LSM10
TCEA11,0.000701369,0.670282844,0.273,0.212,1,3,TCEA1
EIF4G2,0.000706266,0.578048446,0.358,0.304,1,3,EIF4G2
HNRNPDL,0.000716539,0.550373377,0.602,0.606,1,3,HNRNPDL
UBE2L61,0.000801027,0.263751235,0.244,0.361,1,3,UBE2L6
UQCRH,0.001009455,0.718228626,0.491,0.45,1,3,UQCRH
HMGB1,0.001591218,0.592176593,0.64,0.633,1,3,HMGB1
EVI2B,0.001796672,0.500988994,0.366,0.321,1,3,EVI2B
Sep 15,0.0021001,0.714647002,0.331,0.292,1,3,Sep 15
LSM21,0.003171354,0.706609864,0.25,0.197,1,3,LSM2
SPCS2,0.007096802,0.596019439,0.331,0.301,1,3,SPCS2
C11orf311,0.008308232,0.375102032,0.474,0.442,1,3,C11orf31
HNRNPK,0.008784131,0.393238967,0.506,0.496,1,3,HNRNPK
CCL5,5.61E-202,3.326135226,0.983,0.234,7.70E-198,4,CCL5
NKG7,3.16E-181,2.459664527,0.966,0.216,4.33E-177,4,NKG7
GZMA,7.65E-176,2.621036249,0.818,0.121,1.05E-171,4,GZMA
CST7,4.89E-171,2.62644424,0.797,0.122,6.71E-167,4,CST7
GZMK,7.25E-165,4.407539941,0.577,0.055,9.95E-161,4,GZMK
CTSW,1.65E-111,2.179504932,0.818,0.235,2.26E-107,4,CTSW
CD8A,2.65E-103,3.347534212,0.491,0.072,3.64E-99,4,CD8A
KLRG1,1.02E-100,3.022631533,0.478,0.07,1.40E-96,4,KLRG1
GZMH,3.27E-88,3.736400971,0.419,0.061,4.48E-84,4,GZMH
B2M1,1.29E-83,0.707604286,1,1,1.77E-79,4,B2M
LYAR,6.16E-80,2.183093116,0.56,0.135,8.45E-76,4,LYAR
IL321,4.58E-74,1.5061106,0.942,0.504,6.28E-70,4,IL32
HLA-C,6.92E-68,0.894988686,0.997,0.98,9.50E-64,4,HLA-C
PRF1,3.23E-59,1.193592244,0.488,0.115,4.44E-55,4,PRF1
GZMM,1.45E-55,1.830983974,0.584,0.202,1.98E-51,4,GZMM
HLA-A1,4.33E-53,0.747172263,0.993,0.962,5.94E-49,4,HLA-A
CD3D2,5.39E-51,1.27176578,0.876,0.476,7.40E-47,4,CD3D
PTPRCAP1,3.40E-42,1.159212849,0.893,0.611,4.67E-38,4,PTPRCAP
HOPX,1.03E-41,1.947146738,0.412,0.116,1.41E-37,4,HOPX
HCST,2.88E-41,1.293869575,0.787,0.51,3.94E-37,4,HCST
CD8B,3.35E-41,2.198547363,0.371,0.097,4.59E-37,4,CD8B
CCL4,3.76E-40,1.497087207,0.344,0.085,5.16E-36,4,CCL4
SAMD3,2.93E-37,2.05807859,0.333,0.09,4.02E-33,4,SAMD3
HLA-B,5.20E-34,0.602300623,0.979,0.944,7.13E-30,4,HLA-B
MALAT11,1.37E-32,0.517758863,1,1,1.88E-28,4,MALAT1
NCR3,4.11E-31,2.690192245,0.275,0.072,5.64E-27,4,NCR3
APOBEC3G,7.48E-29,2.120609079,0.44,0.189,1.03E-24,4,APOBEC3G
FGFBP2,2.13E-27,1.259503459,0.299,0.086,2.92E-23,4,FGFBP2
C12orf75,1.24E-26,1.811659096,0.333,0.113,1.70E-22,4,C12orf75
CD99,1.03E-24,0.932188514,0.722,0.48,1.42E-20,4,CD99
LCK2,1.12E-24,1.069852353,0.608,0.331,1.53E-20,4,LCK
MYL12A1,8.97E-22,0.490551829,0.948,0.865,1.23E-17,4,MYL12A
GZMB,6.99E-21,0.4171357,0.296,0.099,9.59E-17,4,GZMB
RARRES32,1.21E-20,0.992679131,0.67,0.447,1.66E-16,4,RARRES3
DUSP21,2.67E-20,1.525743688,0.447,0.236,3.66E-16,4,DUSP2
CD3E2,8.44E-20,0.840981972,0.722,0.456,1.16E-15,4,CD3E
CD22,5.05E-19,1.107981923,0.502,0.296,6.93E-15,4,CD2
CHST12,8.47E-19,1.609501343,0.268,0.098,1.16E-14,4,CHST12
APMAP,7.01E-17,1.434856462,0.268,0.105,9.61E-13,4,APMAP
HLA-E,7.11E-17,0.544113061,0.942,0.881,9.75E-13,4,HLA-E
MT-CYB,3.83E-14,0.528716507,0.952,0.929,5.25E-10,4,MT-CYB
ZAP70,1.01E-13,1.637590933,0.278,0.127,1.38E-09,4,ZAP70
PFN11,1.70E-13,0.460973739,0.976,0.942,2.33E-09,4,PFN1
SLC9A3R1,9.82E-13,1.294287269,0.296,0.148,1.35E-08,4,SLC9A3R1
TPST2,2.66E-12,1.53869498,0.271,0.128,3.64E-08,4,TPST2
LITAF,5.34E-12,1.357340405,0.45,0.295,7.32E-08,4,LITAF
ID21,1.32E-11,0.803372595,0.536,0.369,1.81E-07,4,ID2
CALM11,1.50E-11,0.646817134,0.77,0.666,2.05E-07,4,CALM1
FYN,2.20E-11,1.28131961,0.289,0.151,3.02E-07,4,FYN
CD247,2.34E-11,0.58007859,0.423,0.249,3.21E-07,4,CD247
GNLY,2.37E-11,0.54434554,0.313,0.164,3.25E-07,4,GNLY
UBC,7.40E-11,0.364869617,0.887,0.849,1.02E-06,4,UBC
ARPC5L,7.77E-11,1.121852677,0.309,0.171,1.07E-06,4,ARPC5L
MYL12B1,9.08E-11,0.567043042,0.763,0.694,1.25E-06,4,MYL12B
CD531,1.74E-10,0.606352012,0.639,0.536,2.38E-06,4,CD53
CTSC,3.32E-10,0.908365035,0.399,0.252,4.55E-06,4,CTSC
MYO1F1,3.90E-10,1.00745708,0.361,0.222,5.34E-06,4,MYO1F
YWHAQ1,4.05E-10,1.039836664,0.409,0.274,5.55E-06,4,YWHAQ
DDX52,5.34E-10,0.39654702,0.883,0.805,7.32E-06,4,DDX5
IL2RG1,8.30E-10,0.773622383,0.56,0.426,1.14E-05,4,IL2RG
ANXA12,1.27E-09,0.678127156,0.701,0.58,1.75E-05,4,ANXA1
CD3G2,2.41E-09,1.182693809,0.33,0.205,3.30E-05,4,CD3G
BIN2,2.90E-09,0.842659648,0.478,0.356,3.98E-05,4,BIN2
C9orf142,6.28E-09,1.608541254,0.354,0.228,8.61E-05,4,C9orf142
LAT3,6.60E-09,0.951266003,0.337,0.205,9.05E-05,4,LAT
GIMAP72,1.00E-08,0.39870949,0.656,0.526,0.00013716,4,GIMAP7
PLEK,1.00E-08,1.235900099,0.275,0.157,0.000137426,4,PLEK
MT-ND2,1.60E-08,0.467816582,0.918,0.89,0.000218984,4,MT-ND2
SUN2,1.90E-08,0.984035565,0.364,0.237,0.000260405,4,SUN2
Sep 07,2.37E-08,0.704653219,0.45,0.326,0.000325543,4,Sep 07
PIM11,2.46E-08,1.027508309,0.289,0.173,0.000337403,4,PIM1
ANXA6,2.80E-08,0.891190646,0.405,0.282,0.000384616,4,ANXA6
HSPA51,3.02E-08,1.14945919,0.302,0.187,0.000414809,4,HSPA5
ARL4C1,4.16E-08,0.991412331,0.306,0.185,0.000570148,4,ARL4C
IFITM11,4.53E-08,0.602850441,0.588,0.463,0.000621348,4,IFITM1
HLA-F,6.08E-08,0.833034068,0.43,0.32,0.000833144,4,HLA-F
HSP90AA11,7.90E-08,0.467251725,0.615,0.527,0.001083234,4,HSP90AA1
RPS27A2,2.71E-07,0.262541938,1,0.971,0.003711497,4,RPS27A
STK17A2,3.60E-07,0.569949888,0.43,0.305,0.004933318,4,STK17A
TUBA4A1,3.65E-07,0.740566615,0.347,0.239,0.005005463,4,TUBA4A
PPP2R5C1,4.27E-07,0.817852588,0.344,0.231,0.00586002,4,PPP2R5C
PPP1R18,4.32E-07,0.781054632,0.378,0.273,0.005921946,4,PPP1R18
PTPRC,4.55E-07,0.541376787,0.54,0.445,0.006242612,4,PTPRC
RAP1B,4.83E-07,0.498476983,0.46,0.352,0.006629515,4,RAP1B
SH3BGRL31,5.73E-07,0.268538253,0.935,0.849,0.007853877,4,SH3BGRL3
HSP90B1,9.12E-07,0.705990098,0.34,0.235,0.012513722,4,HSP90B1
DHRS7,2.77E-06,0.707010025,0.405,0.309,0.037979036,4,DHRS7
MT-ND4,6.45E-06,0.282994813,0.959,0.958,0.088424876,4,MT-ND4
GIMAP42,8.14E-06,0.343212496,0.533,0.45,0.1116717,4,GIMAP4
HNRNPK1,1.02E-05,0.520503338,0.557,0.49,0.139318944,4,HNRNPK
TMBIM6,1.25E-05,0.356421263,0.57,0.51,0.171156169,4,TMBIM6
PDIA31,1.60E-05,0.92028765,0.412,0.329,0.219365546,4,PDIA3
RPA21,1.69E-05,0.789825818,0.261,0.172,0.231257909,4,RPA2
CFL1,1.92E-05,0.25250228,0.948,0.912,0.263306925,4,CFL1
ZFP36L22,2.22E-05,0.479903981,0.701,0.646,0.3047665,4,ZFP36L2
CCND31,2.24E-05,0.573910912,0.488,0.404,0.306788745,4,CCND3
CXCR42,3.09E-05,0.301265851,0.67,0.592,0.423827725,4,CXCR4
GUK11,3.38E-05,0.584438804,0.543,0.473,0.464192011,4,GUK1
XBP1,3.50E-05,0.662967766,0.368,0.276,0.479454012,4,XBP1
BUB31,3.86E-05,0.737659917,0.289,0.205,0.528785436,4,BUB3
CLIC11,3.91E-05,0.292898174,0.722,0.636,0.536148824,4,CLIC1
ACTG11,3.94E-05,0.35969578,0.887,0.861,0.540922488,4,ACTG1
UBB,4.54E-05,0.427649022,0.79,0.781,0.622395955,4,UBB
SRSF71,5.03E-05,0.478418713,0.543,0.478,0.690449719,4,SRSF7
TMEM50A,6.27E-05,1.510123755,0.333,0.258,0.860480078,4,TMEM50A
IL7R2,6.62E-05,0.618406118,0.467,0.395,0.907535334,4,IL7R
TERF2IP1,7.87E-05,0.56209797,0.306,0.22,1,4,TERF2IP
PPIA,7.89E-05,0.395714013,0.77,0.739,1,4,PPIA
ARL6IP51,9.39E-05,0.518495668,0.505,0.45,1,4,ARL6IP5
CKLF1,0.000111868,0.767619984,0.285,0.207,1,4,CKLF
PSMB9,0.000134127,0.336710339,0.629,0.581,1,4,PSMB9
HSPA82,0.000174363,0.348426207,0.704,0.671,1,4,HSPA8
PPIB,0.000191985,0.638355009,0.522,0.471,1,4,PPIB
RASSF5,0.000236719,0.698097715,0.251,0.175,1,4,RASSF5
AES2,0.000259474,0.31552339,0.564,0.484,1,4,AES
ITGB21,0.000278772,0.317031994,0.546,0.462,1,4,ITGB2
BTN3A2,0.000399473,0.620430468,0.282,0.208,1,4,BTN3A2
CD71,0.000422237,0.389548947,0.45,0.357,1,4,CD7
CALR,0.000440398,0.614225319,0.347,0.272,1,4,CALR
TAP11,0.000440581,0.705643883,0.296,0.225,1,4,TAP1
BIN12,0.000458946,0.557744332,0.316,0.242,1,4,BIN1
SPOCK22,0.000472398,0.716627174,0.275,0.201,1,4,SPOCK2
TMED9,0.000587171,0.785845388,0.313,0.246,1,4,TMED9
SNRPB,0.000673648,0.715532775,0.395,0.341,1,4,SNRPB
KRTCAP21,0.000756162,0.525917096,0.368,0.298,1,4,KRTCAP2
CDC37,0.000799156,1.230936023,0.285,0.219,1,4,CDC37
SPCS21,0.00094455,0.619906667,0.368,0.297,1,4,SPCS2
HNRNPA3,0.00105312,0.589264814,0.361,0.306,1,4,HNRNPA3
CAP1,0.00114921,0.625257063,0.46,0.408,1,4,CAP1
MEAF6,0.001153789,0.499091921,0.33,0.27,1,4,MEAF6
CAPN21,0.001198726,0.921891917,0.275,0.216,1,4,CAPN2
SDHC,0.001256664,0.688641342,0.271,0.209,1,4,SDHC
DSTN1,0.001385787,0.655592573,0.254,0.192,1,4,DSTN
GIMAP52,0.001502669,0.968594461,0.347,0.278,1,4,GIMAP5
CIRBP1,0.001568582,0.287823184,0.742,0.703,1,4,CIRBP
WIPF1,0.001607149,0.639415806,0.265,0.201,1,4,WIPF1
HMGB11,0.001616023,0.295104468,0.663,0.63,1,4,HMGB1
CMPK11,0.001910562,0.757395552,0.426,0.371,1,4,CMPK1
YWHAB,0.001917163,0.290891163,0.557,0.499,1,4,YWHAB
LSP1,0.001944156,0.251928796,0.588,0.541,1,4,LSP1
LCP1,0.001981179,0.455528027,0.433,0.381,1,4,LCP1
OCIAD22,0.002095096,0.431498022,0.285,0.219,1,4,OCIAD2
KMT2E,0.002323002,0.545736241,0.296,0.236,1,4,KMT2E
HNRNPR1,0.002402544,0.66524423,0.261,0.2,1,4,HNRNPR
IER21,0.002857058,0.501569871,0.646,0.635,1,4,IER2
IL10RA1,0.003593562,0.796690113,0.261,0.206,1,4,IL10RA
SNRPD22,0.00368031,0.265879247,0.598,0.565,1,4,SNRPD2
MT2A1,0.004262377,0.379067019,0.378,0.31,1,4,MT2A
XRCC51,0.005236271,0.47803167,0.285,0.236,1,4,XRCC5
MT-CO2,0.005327132,0.272519441,0.893,0.913,1,4,MT-CO2
GADD45B,0.005551571,0.354911324,0.285,0.231,1,4,GADD45B
C9orf16,0.005630929,0.61592955,0.402,0.36,1,4,C9orf16
DNAJB12,0.005788891,0.520849402,0.333,0.287,1,4,DNAJB1
TMEM591,0.005817323,0.366459142,0.436,0.394,1,4,TMEM59
ARF1,0.006010263,0.273270366,0.485,0.451,1,4,ARF1
C11orf58,0.006136886,0.395669723,0.416,0.386,1,4,C11orf58
PTGES31,0.006324534,0.341546928,0.44,0.405,1,4,PTGES3
MED10,0.007350186,0.494655199,0.275,0.226,1,4,MED10
OST4,0.007753236,0.298309785,0.601,0.562,1,4,OST4
CITED21,0.009435858,0.739912191,0.275,0.223,1,4,CITED2
P4HB1,0.009947659,0.529136426,0.282,0.232,1,4,P4HB
ACAP12,0.009955793,0.667582688,0.344,0.298,1,4,ACAP1
CDKN1C,1.69E-212,5.428811841,0.506,0.01,2.32E-208,5,CDKN1C
